,user,age,dominant_hand,shape,hand_used,acc_x-std,acc_y-std,acc_z-std,g-force_x-std,g-force_y-std,g-force_z-std,acc_x-peaks,acc_y-peaks,acc_z-peaks,g-force_x-peaks,g-force_y-peaks,g-force_z-peaks
63,user2,56,R,S,R,0.13409680576945637,0.07126480055195185,0.04378404321320629,1.5049092529397963,0.5853403307609739,0.4213129926892154,2,3,7,5,3,0
64,user2,56,R,O,R,0.05480859669322527,0.04265771276854608,0.036432789570760946,0.6140162901343864,0.5288061351564215,0.3231283007974333,6,6,11,14,8,0
65,user2,56,R,V,R,0.08315759290195078,0.06721852046201933,0.05129092557468606,0.6459339368458159,0.754310335288363,0.47695877462288594,3,2,10,2,9,0
66,user3,23,R,V,L,0.5291739734311672,0.2983480625738801,1.2137733702323115,0.05593786864804889,0.06986260951068284,0.12328057582293539,8,9,4,9,5,0
67,user3,23,R,S,L,0.8885216533145107,0.32210965570253663,0.5634521927714383,0.0901292303738179,0.061014687144793946,0.058875373485721305,10,15,15,15,17,0
68,user3,23,R,S,L,1.279289586358004,0.41943666587935735,0.7331522802037044,0.11103376343086648,0.07664781303476469,0.0754947864430901,0,9,14,7,16,0
69,user3,23,R,O,L,0.784331171414311,0.3010025223456736,0.7627958214666284,0.0815357911939945,0.0783911569912406,0.07590045647955056,8,17,16,11,16,0
70,user3,23,R,O,L,0.979320450467532,0.34497305112081705,0.9774788886197495,0.09292298944874106,0.08585438836672458,0.09807529703670159,6,11,12,9,7,0
71,user3,23,R,V,L,0.6493354567968682,0.41591937204499135,1.1584627662979348,0.05844849012807385,0.056892133965539236,0.1170061226707391,9,11,8,13,7,0
72,user3,23,R,O,L,1.1641625583160866,0.39372169680697766,1.1611594786041846,0.10283671458281407,0.061312326228224245,0.11694084610995217,7,12,6,4,12,0
73,user3,23,R,V,L,0.6300610190872478,0.44744012848356296,1.247960086970878,0.07296277084396129,0.05218474849343418,0.12685028581322197,10,10,5,15,11,0
74,user3,23,R,V,L,0.8292774491543319,0.5638259405716453,1.1867160836587747,0.0821810942792231,0.06418867459416511,0.12102481193216487,5,9,8,7,8,0
75,user3,23,R,S,L,0.708530421465566,0.24980529267548054,0.5601294412671598,0.06729556993447831,0.061440458809161595,0.05828557573819084,12,18,14,8,18,0
76,user3,23,R,V,L,0.5577805643416955,0.33203561611881083,1.122781676881921,0.05608128025116967,0.06533568411273312,0.11428503524165944,8,14,9,10,5,0
77,user3,23,R,O,L,1.0745448289798287,0.40971045198925393,1.1208111517606953,0.09747176136372712,0.09943434392717078,0.11161893229126078,7,15,10,10,12,0
78,user3,23,R,S,L,0.8853413572779145,0.32290655043158084,0.6161639259307916,0.09237528478326289,0.07524882512057648,0.06447054079952569,12,13,10,11,11,0
79,user3,23,R,O,L,1.4084476630167242,0.44528381218699903,1.2424377243265001,0.11394843931515705,0.08347014732712926,0.12610983355157956,7,10,9,11,10,0
80,user3,23,R,V,L,0.6743412142661916,0.45812907695463123,1.3010890512742115,0.06222020319152819,0.08183978668999893,0.13425020763609427,11,8,7,10,5,0
81,user3,23,R,S,L,1.1639430062961666,0.33821589885477515,0.6747065725670546,0.10302713294595141,0.058398309025551105,0.06895648872284614,7,20,10,11,15,0
82,user3,23,R,S,L,1.0163606668224632,0.39038342948960736,0.6067046752962995,0.08818234956196876,0.07052921400968376,0.06274804544215452,6,12,8,7,8,0
83,user3,23,R,S,L,1.1863921574704246,0.2505729510008297,0.5767315542904564,0.09432472509024069,0.059688300918016614,0.061157436218002736,6,14,13,6,15,0
84,user3,23,R,V,L,0.5764733275063151,0.2825828016513544,1.1579553571831336,0.06646403384455639,0.06429615397788858,0.11905671785879422,11,7,5,8,3,0
85,user3,23,R,O,L,0.8164283442902829,0.29134133374388693,0.8369700497401805,0.07103607493296647,0.07470722493277887,0.08350200386480354,6,13,10,8,8,0
86,user3,23,R,O,L,1.378711413571128,0.43671662915089665,1.2428188598574117,0.10856223091257115,0.07729410981501542,0.12447865073465413,4,10,14,10,4,0
87,user3,23,R,O,L,1.295199289135315,0.3147204522769972,1.0434519749986995,0.10178910388978486,0.061397015943468344,0.10346840096014294,5,12,8,7,4,0
88,user3,23,R,S,L,0.7730084017886446,0.314598138781495,0.6261668803108126,0.07603931297375034,0.08240543921957062,0.06533181077383206,8,11,11,13,10,0
89,user3,23,R,V,L,0.5954102460415606,0.5409577489968868,1.2392561311772048,0.05587495555631689,0.06329662559686558,0.12688029898981656,7,11,10,16,14,0
90,user3,23,R,S,L,0.9878763372935986,0.25283500573441114,0.6628158953060604,0.07852332957891728,0.08004097198269355,0.06795146376082456,8,11,9,11,5,0
91,user3,23,R,V,L,0.6370188136454915,0.3183276371952706,1.0570545873822204,0.06448532772984882,0.05906813279607864,0.10976743188869406,8,12,4,6,13,0
92,user3,23,R,O,L,1.0986609897696988,0.5138667794818707,1.4582867040175977,0.10179870438744858,0.08304074887885447,0.21784680560512215,10,11,6,5,8,1
93,user3,23,R,S,L,0.9045513605176216,0.3225603884213583,0.5219083135316945,0.09035662898294324,0.07615245700250364,0.053861247755975054,6,9,15,11,15,0
94,user3,23,R,O,L,0.8947818087703813,0.3641335225733088,0.9268274404279152,0.09181518129222024,0.07935279556737038,0.09070292659263827,6,10,10,7,9,0
95,user3,23,R,V,L,0.7560443440341376,0.4020386877666845,1.0666855935613317,0.07773493483536588,0.05605730722388758,0.10897575416032095,11,9,1,16,12,0
96,user3,23,R,V,R,0.5492528812034669,0.4357862748394227,1.0049227221340495,0.051442429118375,0.07480822801803436,0.10186446157213948,6,11,8,13,10,0
97,user3,23,R,S,R,1.075860682739475,0.3646822421223608,0.7189662862056697,0.10135947127524533,0.0718548259040205,0.07305209561567232,8,10,10,8,9,0
